Date,GS,JPM,MSFT
2024-01-04,364.4966735839844,163.37591552734375,361.7090759277344
2024-01-05,367.8185119628906,164.1956024169922,361.52227783203125
2024-01-08,370.12188720703125,163.9573211669922,368.3447570800781
2024-01-09,365.24859619140625,162.6610870361328,369.4261474609375
2024-01-10,363.5543518066406,163.00418090820312,376.28790283203125
2024-01-11,361.4508972167969,162.3179473876953,378.116455078125
2024-01-12,359.5472717285156,161.1265411376953,381.8913879394531
2024-01-16,362.1171569824219,160.1162109375,383.6609191894531
2024-01-17,359.00469970703125,159.25840759277344,382.87451171875
2024-01-18,358.74774169921875,159.57290649414062,387.199951171875
2024-01-19,363.7828063964844,162.32745361328125,391.9186706542969
2024-01-22,367.3616027832031,162.13685607910156,389.7952880859375
2024-01-23,362.4217224121094,161.06935119628906,392.1448059082031
2024-01-24,361.11773681640625,162.508544921875,395.7427978515625
2024-01-25,364.2587585449219,164.83419799804688,398.0137023925781
2024-01-26,359.5853271484375,164.2051239013672,397.0896301269531
2024-01-29,362.22186279296875,164.634033203125,402.78155517578125
2024-01-30,368.2278137207031,168.0081329345703,401.6706848144531
2024-01-31,365.50567626953125,166.18763732910156,390.84710693359375
2024-02-01,365.353271484375,165.58717346191406,396.9421081542969
2024-02-02,369.1700744628906,166.54031372070312,404.256103515625
2024-02-05,364.56329345703125,166.3210906982422,398.7804870605469
2024-02-06,366.4383239746094,166.89295959472656,398.6231689453125
2024-02-07,368.0279235839844,167.20748901367188,407.0382080078125
2024-02-08,366.4859313964844,166.6070098876953,407.09722900390625
2024-02-09,365.7435607910156,166.8071746826172,413.4281311035156
2024-02-12,373.7197570800781,167.55059814453125,408.22772216796875
2024-02-13,360.4990539550781,166.0923309326172,399.4391174316406
2024-02-14,359.8232727050781,167.77935791015625,403.29986572265625
2024-02-15,366.8476867675781,171.43939208984375,400.4141540527344
2024-02-16,365.9149475097656,170.6387481689453,397.95196533203125
2024-02-20,365.99102783203125,171.30592346191406,396.7011413574219
2024-02-21,369.560302734375,172.4210968017578,396.1003723144531
2024-02-22,371.6543273925781,174.48939514160156,405.4272155761719
2024-02-23,372.206298828125,175.36630249023438,404.13702392578125
2024-02-26,371.4163818359375,174.76580810546875,401.3793640136719
2024-02-27,371.9779357910156,174.85159301757812,401.32025146484375
2024-02-28,376.8857421875,175.73800659179688,401.5566101074219
2024-02-29,372.92694091796875,177.33926391601562,407.3871765136719
2024-03-01,372.01629638671875,176.6053466796875,409.2190246582031
2024-03-04,375.9942932128906,177.93019104003906,408.6477966308594
2024-03-05,374.70977783203125,179.71253967285156,396.563232421875
